stop_id,description
Hornsby.HY77 Loc,Up Shore north of Hornsby
Hornsby.HY86 Entry Loc,Outwards Car Shed Road
Liverpool.LL228 Loc,Liverpool Up Storage Siding
SouthCoast.COAL-656,Coalcliff Down Refuge Loop
SouthCoast.COAL-643,Coalcliff Down Refuge Loop
SouthCoast.COAL-631-634,Coalcliff Down Refuge Loop
SouthCoast.COAL-654,Coalcliff Eastern Coal Loop
SouthCoast.COAL-637,Coalcliff Eastern Coal Loop
SouthCoast.THRL-594,Thirroul Up Refuge Loop
SouthCoast.THRL-579,Thirroul Up Refuge Loop
SouthCoast.THRL-596,Thirroul Up Goods Loop
SouthCoast.THRL-581,Thirroul Up Goods Loop
SouthCoast.THRL-588-587,Thirroul Down Refuge
SouthCoast.THRL-582,Thirroul Down Refuge
SouthCoast.THRL-559,Thirroul Down Refuge
SouthCoast.WOLL-446-425,Wollongong No.1 Up Siding
SouthCoast.WOLL-424-415,Wollongong No.1 Up Siding
SouthCoast.WOLL-120-115,Up Inner Harbour North Fork
SouthCoast.WOLL-133-116,Inner Harbour Departure
SouthCoast.WOLL-1001,Allan's Creek Triangle Loop
SouthCoast.WOLL-444-419,Wollongong No.1 Down Siding
SouthCoast.WOLL-409,Wollongong No.1 Down Siding
SouthCoast.WOLL-442-417,Wollongong No.2 Down Siding
SouthCoast.WOLL-119,Down Inner Harbour North Fork
SouthCoast.WOLL-131-126,Inner Harbour Arrival
SouthCoast.WOLL-1003,Down Inner Harbour South Fork
SouthCoast.WOLL-1005,Up Inner Harbour South Fork
SouthCoast.WOLL-117,Up Inner Harbour South Fork
SouthCoast.PKLA-87,Allan's Creek Triangle Loop
SouthCoast.PKLA-86-83,Allan's Creek Triangle Loop
SouthCoast.PKLA-32,Port Kembla Refuge Loop
SouthCoast.PKLA-29,Port Kembla Refuge Loop
SouthCoast.PKLA-4,Port Kembla Engine Road
SouthCoast.PKLA-66,AIS Sidings
SouthCoast.UNAN-1014,Up Illawarra
SouthCoast.UNAN-1020,Up Illawarra
SouthCoast.UNAN-1027,Up Illawarra
SouthCoast.UNAN-1028,Up Moss Vale-Unanderra
SouthCoast.UNAN-1033,Up Moss Vale-Unanderra
SouthCoast.UNAN-1034,Up Moss Vale-Unanderra
SouthCoast.DBTN-1043,Up Moss Vale-Unanderra
SouthCoast.UNAN-1026,Down Moss Vale-Unanderra
SouthCoast.UNAN-1031,Down Moss Vale-Unanderra
SouthCoast.UNAN-1032,Down Moss Vale-Unanderra
SouthCoast.DBTN-1041,Down Moss Vale-Unanderra
SouthCoast.UNAN-1019,Bluescope Unanderra Exchange Sidings
SouthCoast.41-4,Wongawilli Branch
SouthCoast.44-26-9,Bombo Loop
SouthCoast.44-10-25,Bombo Loop
SouthCoast.45-8,Kiama Down Siding
