stop_id,lat,lon
NorthSydney.NS310/339 Loc,-33.84021759033203,151.2024688720703
NorthSydney.NS315 Loc,-33.840572357177734,151.203125
NorthSydney.NS316 Loc,-33.840694427490234,151.20521545410156
NorthSydney.NS309 Loc,-33.83992385864258,151.20045471191406
NorthSydney.NS322 Loc,-33.84095001220703,151.2064971923828
NorthSydney.SH3.77 Loc,-33.83890914916992,151.19833374023438
NorthSydney.North Sydney 1 Loc,-33.8410758972168,151.20741271972656
NorthSydney.Waverton 2 Loc,-33.83784484863281,151.1973419189453
NorthSydney.SH4.02 Entry Loc,-33.83540344238281,151.19723510742188
NorthSydney.NS300 Loc,-33.83739471435547,151.19732666015625
NorthSydney.SH2.71 Entry Loc,-33.846641540527344,151.2120819091797
NorthSydney.Waverton 1 Loc,-33.83784484863281,151.1973419189453
NorthSydney.Milsons Point 2 Loc,-33.84604263305664,151.2118377685547
NorthSydney.NS306 Loc,-33.83982467651367,151.2004852294922
NorthSydney.NS335 Loc,-33.84351348876953,151.21075439453125
NorthSydney.NS330 Loc,-33.8421516418457,151.209716796875
NorthSydney.NS333 Loc,-33.842777252197266,151.210205078125
NorthSydney.SH2.96/NS329 Loc,-33.843509674072266,151.21078491210938
NorthSydney.NS331 Loc,-33.84186935424805,151.2091522216797
NorthSydney.SH2.90 Loc,-33.84431076049805,151.2112579345703
NorthSydney.NS327 Loc,-33.84151077270508,151.2082977294922
NorthSydney.SH2.84 Loc,-33.84510040283203,151.21157836914062
NorthSydney.North Sydney 4 Loc,-33.8410758972168,151.20741271972656
NorthSydney.Milsons Point 1 Loc,-33.84604263305664,151.2118377685547
NorthSydney.NS312/341 Loc,-33.84027862548828,151.20262145996094
NorthSydney.NS318/311 Loc,-33.840858459472656,151.20559692382812
NorthSydney.North Sydney 2 Loc,-33.8410758972168,151.20741271972656
NorthSydney.NS325 Loc,-33.84144592285156,151.20838928222656
NorthSydney.North Sydney 3 Loc,-33.8410758972168,151.20741271972656
NorthSydney.NS313/320 Loc,-33.840675354003906,151.2035369873047
NorthSydney.NS323 Loc,-33.841346740722656,151.20822143554688
NorthSydney.NS305 Loc,-33.83988952636719,151.20045471191406
NorthSydney.NS307/314 Loc,-33.8403434753418,151.20248413085938
NorthSydney.NS304 Loc,-33.83910369873047,151.19857788085938
NorthSydney.NS301/298 Loc,-33.8453254699707,151.2021942138672
NorthSydney.NSY Lav Bay Sdg Exit Loc,-33.84474563598633,151.2093505859375
NorthSydney.NSY Lav Bay Sdg Entry Loc,-33.84474563598633,151.2093505859375
