stop_id,lat,lon
Strathfield.ST194 Loc,-33.84362030029297,151.08534240722656
Strathfield.Beecroft 1 Loc,-33.750587463378906,151.06607055664062
Strathfield.West Ryde 2 Loc,-33.80712890625,151.09024047851562
Strathfield.ST179 Loc,-33.85166931152344,151.08609008789062
Strathfield.ST128 Loc,-33.868919372558594,151.09066772460938
Strathfield.EG21 Loc,-33.78206253051758,151.0835418701172
Strathfield.Epping 2 Loc,-33.77300262451172,151.08201599121094
Strathfield.N18.97 Loc,-33.724185943603516,151.0853729248047
Strathfield.Homebush 4 Loc,-33.86693572998047,151.0865936279297
Strathfield.Strathfield 6 Loc,-33.871639251708984,151.0941925048828
Strathfield.Strathfield 3 Loc,-33.871639251708984,151.0941925048828
Strathfield.RS20 Loc,-33.82625198364258,151.0880126953125
Strathfield.Rhodes 3 Loc,-33.829856872558594,151.08717346191406
Strathfield.ST140 Loc,-33.86568069458008,151.09051513671875
Strathfield.Strathfield 8 Loc,-33.871639251708984,151.0941925048828
Strathfield.ST190 Loc,-33.84362030029297,151.08534240722656
Strathfield.EG25 Loc,-33.77710723876953,151.0841064453125
Strathfield.Concord West 2 Loc,-33.84858703613281,151.08566284179688
Strathfield.Concord West 3 Loc,-33.84771728515625,151.08551025390625
Strathfield.Strathfield 2 Loc,-33.871639251708984,151.0941925048828
Strathfield.Rhodes 1 Loc,-33.829856872558594,151.08717346191406
Strathfield.ST132 Loc,-33.868900299072266,151.09144592285156
Strathfield.ST180 Loc,-33.849525451660156,151.0857696533203
Strathfield.ST274 Entry Loc,-33.86494445800781,151.0748291015625
Strathfield.ST176 Loc,-33.852699279785156,151.08639526367188
Strathfield.RS7 Loc,-33.84224319458008,151.08531188964844
Strathfield.Epping 3 Loc,-33.77300262451172,151.08201599121094
Strathfield.ST268 Loc,-33.86459732055664,151.07752990722656
Strathfield.Strathfield 5 Loc,-33.871639251708984,151.0941925048828
Strathfield.ST233 Loc,-33.871437072753906,151.09347534179688
Strathfield.EG62 Loc,-33.754085540771484,151.07125854492188
Strathfield.WR8 Loc,-33.80991744995117,151.08975219726562
Strathfield.ST231 Loc,-33.871280670166016,151.09353637695312
Strathfield.RS8/15 Loc,-33.835750579833984,151.08604431152344
Strathfield.Nth Strathfield 1 Loc,-33.858890533447266,151.0881805419922
Strathfield.RS11 Loc,-33.83681106567383,151.0857696533203
Strathfield.ST160 Loc,-33.859806060791016,151.08848571777344
Strathfield.N11.46 Loc,-33.812904357910156,151.0901336669922
Strathfield.ST240 Loc,-33.86760330200195,151.0877685546875
Strathfield.ST137 Loc,-33.870994567871094,151.09365844726562
Strathfield.ST260 Loc,-33.86515808105469,151.0813446044922
Strathfield.ST241 Loc,-33.86976623535156,151.09129333496094
Strathfield.ST239 Loc,-33.86973571777344,151.09132385253906
Strathfield.Homebush 2 Loc,-33.86693572998047,151.0865936279297
Strathfield.ST156 Loc,-33.86433792114258,151.0900421142578
Strathfield.Cheltenham 1 Loc,-33.755706787109375,151.0785369873047
Strathfield.RS13 Loc,-33.83394241333008,151.0863800048828
Strathfield.ST141 Loc,-33.87025451660156,151.0926055908203
Strathfield.Homebush 7 Loc,-33.86693572998047,151.08660888671875
Strathfield.ST144 Loc,-33.86334228515625,151.08970642089844
Strathfield.Rhodes 2 Loc,-33.829856872558594,151.08717346191406
Strathfield.ST234 Loc,-33.86812973022461,151.0888214111328
Strathfield.Homebush 3 Loc,-33.86693572998047,151.0865936279297
Strathfield.ST138 Loc,-33.86568069458008,151.09051513671875
Strathfield.Meadowbank 1 Loc,-33.816654205322266,151.08993530273438
Strathfield.ST106/119 Loc,-33.872398376464844,151.09564208984375
Strathfield.RS23/18 Loc,-33.823646545410156,151.08837890625
Strathfield.ST134 Loc,-33.869178771972656,151.09042358398438
Strathfield.ST271/258 Loc,-33.866424560546875,151.08560180664062
Strathfield.ST126 Loc,-33.868343353271484,151.0914306640625
Strathfield.ST100 Loc,-33.8745002746582,151.09767150878906
Strathfield.ST163 Loc,-33.86795425415039,151.09124755859375
Strathfield.ST236 Loc,-33.867130279541016,151.08731079101562
Strathfield.ST108 Loc,-33.87247085571289,151.09521484375
Strathfield.Strathfield 7 Loc,-33.871639251708984,151.0941925048828
Strathfield.ST103 Entry Loc,-33.8765983581543,151.1009521484375
Strathfield.ST105 Entry Loc,-33.875030517578125,151.0980682373047
Strathfield.WR1 Loc,-33.81901931762695,151.08938598632812
Strathfield.EG43 Loc,-33.76957321166992,151.08143615722656
Strathfield.ST171/162 Loc,-33.86534881591797,151.0902862548828
Strathfield.Strathfield 1 Loc,-33.871639251708984,151.0941925048828
Strathfield.EG47 Loc,-33.767269134521484,151.08212280273438
Strathfield.ST109 Loc,-33.87657165527344,151.10086059570312
Strathfield.ST269 Loc,-33.866424560546875,151.08560180664062
Strathfield.ST111 Loc,-33.87653350830078,151.10049438476562
Strathfield.Meadowbank 2 Loc,-33.816654205322266,151.08993530273438
Strathfield.ST230 Loc,-33.8680305480957,151.08889770507812
Strathfield.ST275 Loc,-33.865257263183594,151.08131408691406
Strathfield.EG51/46 Loc,-33.7663459777832,151.08265686035156
Strathfield.ST113 Loc,-33.87493133544922,151.09786987304688
Strathfield.Nth Strathfield 2 Loc,-33.858890533447266,151.0881805419922
Strathfield.ST115 Loc,-33.87499237060547,151.09786987304688
Strathfield.ST102 Loc,-33.874595642089844,151.09764099121094
Strathfield.RS22 Loc,-33.8204345703125,151.08908081054688
Strathfield.ST273 Loc,-33.864784240722656,151.0797576904297
Strathfield.EG54 Loc,-33.76120376586914,151.0819549560547
Strathfield.WR5 Loc,-33.80900192260742,151.08970642089844
Strathfield.ST123 Loc,-33.87395477294922,151.09690856933594
Strathfield.ST125 Loc,-33.873748779296875,151.09666442871094
Strathfield.EG44/53 Loc,-33.7662353515625,151.08270263671875
Strathfield.West Ryde 3 Loc,-33.80712890625,151.09024047851562
Strathfield.N15.51/EG56 Loc,-33.759029388427734,151.08116149902344
Strathfield.ST110 Loc,-33.87247085571289,151.09521484375
Strathfield.NS12.19 Loc,-33.803672790527344,151.09103393554688
Strathfield.Cheltenham 2 Loc,-33.755706787109375,151.0785369873047
Strathfield.ST238 Loc,-33.867130279541016,151.08731079101562
Strathfield.EG40/49 Loc,-33.7697639465332,151.08154296875
Strathfield.ST104 Loc,-33.87471008300781,151.09762573242188
Strathfield.NS12.47 Loc,-33.80047607421875,151.0884246826172
Strathfield.ST232 Loc,-33.86810302734375,151.08885192871094
Strathfield.Denistone 4 Loc,-33.800025939941406,151.08738708496094
Strathfield.ST130 Loc,-33.868995666503906,151.0906219482422
Strathfield.N16.37 Loc,-33.75376892089844,151.0687255859375
Strathfield.ST101 Entry Loc,-33.875030517578125,151.0980682373047
Strathfield.ST107 Loc,-33.87639617919922,151.10057067871094
Strathfield.Strathfield 4 Loc,-33.871639251708984,151.0941925048828
Strathfield.NS13.09 Loc,-33.793575286865234,151.08285522460938
Strathfield.Eastwood 4 Loc,-33.790130615234375,151.08224487304688
Strathfield.ST121 Loc,-33.874813079833984,151.09786987304688
Strathfield.TH20 Entry Loc,-33.723392486572266,151.08631896972656
Strathfield.N16.65 Loc,-33.751373291015625,151.06600952148438
Strathfield.NS14.20/EG33 Loc,-33.777095794677734,151.08425903320312
Strathfield.Beecroft 2 Loc,-33.750587463378906,151.06607055664062
Strathfield.TH18 Loc,-33.7285270690918,151.08135986328125
Strathfield.ST139 Loc,-33.871280670166016,151.09353637695312
Strathfield.Thornleigh 2 Loc,-33.73195266723633,151.07814025878906
Strathfield.ST276 Entry Loc,-33.8649787902832,151.0748291015625
Strathfield.NS13.88 Loc,-33.782257080078125,151.0836944580078
Strathfield.ST270 Loc,-33.86463165283203,151.07752990722656
Strathfield.N17.17 Loc,-33.743896484375,151.06536865234375
Strathfield.TH4 Loc,-33.73666763305664,151.07376098632812
Strathfield.ST143 Loc,-33.86930465698242,151.091552734375
Strathfield.ST262 Loc,-33.865196228027344,151.0813446044922
Strathfield.NS13.62 Loc,-33.78547286987305,151.08309936523438
Strathfield.N17.45 Loc,-33.74152755737305,151.0688018798828
Strathfield.Pennant Hills 1 Loc,-33.73790740966797,151.07260131835938
Strathfield.ST165/146 Loc,-33.86433410644531,151.0900421142578
Strathfield.NS13.36 Loc,-33.78883743286133,151.08251953125
Strathfield.N12.19 Loc,-33.80368423461914,151.0911102294922
Strathfield.N17.28 Loc,-33.742183685302734,151.06707763671875
Strathfield.ST235 Loc,-33.87025451660156,151.0926055908203
Strathfield.Pennant Hills 2 Loc,-33.73788070678711,151.07257080078125
Strathfield.Eastwood 1 Loc,-33.790130615234375,151.08224487304688
Strathfield.N12.47 Loc,-33.80043411254883,151.08851623535156
