stop_id,lat,lon
Sydenham.ES0.79 Loc,-33.87580871582031,151.20631408691406
Sydenham.SM609/600BER,-33.9146728515625,151.1663055419922
Sydenham.SM862BER,-33.96128463745117,151.13279724121094
Sydenham.ES1.76 Loc,-33.86827850341797,151.2083740234375
Sydenham.SM176 LOC,-33.91029739379883,151.13204956054688
Sydenham.Kings Cross 2 Loc,-33.874778747558594,151.2223358154297
Sydenham.SM898BER,-33.96976089477539,151.1144256591797
Sydenham.SM607BER,-33.91478729248047,151.1664276123047
Sydenham.ES5.13 Loc,-33.88159942626953,151.2405548095703
Sydenham.ES6.48 Loc,-33.889488220214844,151.24412536621094
Sydenham.SY771 Loc,-33.889488220214844,151.24412536621094
Sydenham.IR2.18 Loc,-33.897464752197266,151.1934356689453
Sydenham.CR715/CR712 LOC,-33.91416931152344,151.1551513671875
Sydenham.SM693BER,-33.917911529541016,151.1585235595703
Sydenham.IR0.98 Loc,-33.88901138305664,151.2017364501953
Sydenham.SY580 Loc,-33.91048049926758,151.17257690429688
Sydenham.Central 25 Loc,-33.884395599365234,151.2074737548828
Sydenham.SM668BER,-33.932247161865234,151.1494903564453
Sydenham.Erskineville 4 Loc,-33.90103530883789,151.18536376953125
Sydenham.SY778 Loc,-33.891300201416016,151.2496795654297
Sydenham.ES0.74 Loc,-33.87580871582031,151.20631408691406
Sydenham.Edgecliff 1 Loc,-33.87976837158203,151.23675537109375
Sydenham.ES0.91 Loc,-33.87580871582031,151.20631408691406
Sydenham.ES1.64 Loc,-33.86827850341797,151.2083740234375
Sydenham.IR2.02 Loc,-33.89474868774414,151.19290161132812
Sydenham.ES0.58 Loc,-33.87957000732422,151.20689392089844
Sydenham.ES0.99 Loc,-33.87580871582031,151.20631408691406
Sydenham.SM856BER,-33.95747756958008,151.13412475585938
Sydenham.ES1.54 Loc,-33.87078094482422,151.20745849609375
Sydenham.SM892BER,-33.96918487548828,151.11973571777344
Sydenham.SM621BER,-33.91617202758789,151.1641082763672
Sydenham.ES5.37 Loc,-33.88159942626953,151.2405548095703
Sydenham.SY773 Loc,-33.889488220214844,151.24412536621094
Sydenham.IR1.86 Loc,-33.89474868774414,151.19290161132812
Sydenham.IR0.74 Loc,-33.88901138305664,151.2017364501953
Sydenham.SY574 Loc,-33.909095764160156,151.1749267578125
Sydenham.SM2.1 Loc,-33.90375900268555,151.18463134765625
Sydenham.ES0.46 Loc,-33.87957000732422,151.20689392089844
Sydenham.ES1.11 Loc,-33.87580871582031,151.20631408691406
Sydenham.ES1.46 Loc,-33.87078094482422,151.20745849609375
Sydenham.SM627BER,-33.91820526123047,151.16102600097656
Sydenham.ES6.34 Loc,-33.884849548339844,151.242919921875
Sydenham.IR1.74 Loc,-33.89474868774414,151.19290161132812
Sydenham.IR0.62 Loc,-33.8862190246582,151.20509338378906
